Date,Peak,Gain,%Gain
2012-10-01,"21,291","-15,579",-42.3%
2012-09-01,"36,870","-15,726",-29.9%
2012-08-01,"52,596","+50,624","+2,567.1%"
2012-07-01,"1,972",-947,-32.4%
2012-06-01,"2,919",+822,+39.2%
2012-05-01,"2,097",+198,+10.4%
2012-04-01,"1,899",+636,+50.4%
2012-03-01,"1,263","+1,059",+519.1%
2012-02-01,204,-476,-70.0%
2011-11-01,680,-,-
